_id,Schedule,CollectionDate,Organics,Garbage,Recycling,YardWaste,ChristmasTree
146,Wednesday1,2023-10-18,W,0,W,0,0
147,Wednesday1,2023-10-25,W,W,0,W,0
148,Wednesday1,2023-11-01,W,0,W,0,0
149,Wednesday1,2023-11-08,W,W,0,W,0
150,Wednesday1,2023-11-15,W,0,W,0,0
151,Wednesday1,2023-11-22,W,W,0,W,0
152,Wednesday1,2023-11-29,W,0,W,0,0
153,Wednesday1,2023-12-06,W,W,0,W,0
154,Wednesday1,2023-12-13,W,0,W,0,0
155,Wednesday1,2023-12-20,W,W,0,0,0
156,Wednesday1,2023-12-27,W,0,W,0,0
157,Wednesday2,2023-01-04,W,0,W,0,0
158,Wednesday2,2023-01-11,W,W,0,0,W
159,Wednesday2,2023-01-18,W,0,W,0,0
160,Wednesday2,2023-01-25,W,W,0,0,W
161,Wednesday2,2023-02-01,W,0,W,0,0
162,Wednesday2,2023-02-08,W,W,0,0,0
163,Wednesday2,2023-02-15,W,0,W,0,0
164,Wednesday2,2023-02-22,W,W,0,0,0
165,Wednesday2,2023-03-01,W,0,W,0,0
166,Wednesday2,2023-03-08,W,W,0,0,0
167,Wednesday2,2023-03-15,W,0,W,0,0
168,Wednesday2,2023-03-22,W,W,0,W,0
169,Wednesday2,2023-03-29,W,0,W,0,0
170,Wednesday2,2023-04-05,W,W,0,W,0
171,Wednesday2,2023-04-12,W,0,W,0,0
172,Wednesday2,2023-04-19,W,W,0,W,0
173,Wednesday2,2023-04-26,W,0,W,0,0
174,Wednesday2,2023-05-03,W,W,0,W,0
175,Wednesday2,2023-05-10,W,0,W,0,0
176,Wednesday2,2023-05-17,W,W,0,W,0
177,Wednesday2,2023-05-24,W,0,W,0,0
178,Wednesday2,2023-05-31,W,W,0,W,0
179,Wednesday2,2023-06-07,W,0,W,0,0
180,Wednesday2,2023-06-14,W,W,0,W,0
181,Wednesday2,2023-06-21,W,0,W,0,0
182,Wednesday2,2023-06-28,W,W,0,W,0
183,Wednesday2,2023-07-05,W,0,W,0,0
184,Wednesday2,2023-07-12,W,W,0,W,0
185,Wednesday2,2023-07-19,W,0,W,0,0
186,Wednesday2,2023-07-26,W,W,0,W,0
187,Wednesday2,2023-08-02,W,0,W,0,0
188,Wednesday2,2023-08-09,W,W,0,W,0
189,Wednesday2,2023-08-16,W,0,W,0,0
190,Wednesday2,2023-08-23,W,W,0,W,0
191,Wednesday2,2023-08-30,W,0,W,0,0
192,Wednesday2,2023-09-06,W,W,0,W,0
193,Wednesday2,2023-09-13,W,0,W,0,0
194,Wednesday2,2023-09-20,W,W,0,W,0
195,Wednesday2,2023-09-27,W,0,W,0,0
196,Wednesday2,2023-10-04,W,W,0,W,0
197,Wednesday2,2023-10-11,W,0,W,0,0
198,Wednesday2,2023-10-18,W,W,0,W,0
199,Wednesday2,2023-10-25,W,0,W,0,0
200,Wednesday2,2023-11-01,W,W,0,W,0
201,Wednesday2,2023-11-08,W,0,W,0,0
202,Wednesday2,2023-11-15,W,W,0,W,0
203,Wednesday2,2023-11-22,W,0,W,0,0
204,Wednesday2,2023-11-29,W,W,0,W,0
205,Wednesday2,2023-12-06,W,0,W,0,0
206,Wednesday2,2023-12-13,W,W,0,W,0
207,Wednesday2,2023-12-20,W,0,W,0,0
208,Wednesday2,2023-12-27,W,W,0,0,0
209,Thursday1,2023-01-05,R,R,0,0,R
210,Thursday1,2023-01-12,R,0,R,0,0
211,Thursday1,2023-01-19,R,R,0,0,R
212,Thursday1,2023-01-26,R,0,R,0,0
213,Thursday1,2023-02-02,R,R,0,0,0
214,Thursday1,2023-02-09,R,0,R,0,0
215,Thursday1,2023-02-16,R,R,0,0,0
216,Thursday1,2023-02-23,R,0,R,0,0
217,Thursday1,2023-03-02,R,R,0,0,0
218,Thursday1,2023-03-09,R,0,R,0,0
219,Thursday1,2023-03-16,R,R,0,R,0
220,Thursday1,2023-03-23,R,0,R,0,0
221,Thursday1,2023-03-30,R,R,0,R,0
222,Thursday1,2023-04-06,R,0,R,0,0
223,Thursday1,2023-04-13,R,R,0,R,0
224,Thursday1,2023-04-20,R,0,R,0,0
225,Thursday1,2023-04-27,R,R,0,R,0
226,Thursday1,2023-05-04,R,0,R,0,0
227,Thursday1,2023-05-11,R,R,0,R,0
228,Thursday1,2023-05-18,R,0,R,0,0
229,Thursday1,2023-05-25,R,R,0,R,0
230,Thursday1,2023-06-01,R,0,R,0,0
231,Thursday1,2023-06-08,R,R,0,R,0
232,Thursday1,2023-06-15,R,0,R,0,0
233,Thursday1,2023-06-22,R,R,0,R,0
234,Thursday1,2023-06-29,R,0,R,0,0
235,Thursday1,2023-07-06,R,R,0,R,0
236,Thursday1,2023-07-13,R,0,R,0,0
237,Thursday1,2023-07-20,R,R,0,R,0
238,Thursday1,2023-07-27,R,0,R,0,0
239,Thursday1,2023-08-03,R,R,0,R,0
240,Thursday1,2023-08-10,R,0,R,0,0
241,Thursday1,2023-08-17,R,R,0,R,0
242,Thursday1,2023-08-24,R,0,R,0,0
243,Thursday1,2023-08-31,R,R,0,R,0
244,Thursday1,2023-09-07,R,0,R,0,0
245,Thursday1,2023-09-14,R,R,0,R,0
246,Thursday1,2023-09-21,R,0,R,0,0
247,Thursday1,2023-09-28,R,R,0,R,0
248,Thursday1,2023-10-05,R,0,R,0,0
249,Thursday1,2023-10-12,R,R,0,R,0
250,Thursday1,2023-10-19,R,0,R,0,0
251,Thursday1,2023-10-26,R,R,0,R,0
252,Thursday1,2023-11-02,R,0,R,0,0
253,Thursday1,2023-11-09,R,R,0,R,0
254,Thursday1,2023-11-16,R,0,R,0,0
255,Thursday1,2023-11-23,R,R,0,R,0
256,Thursday1,2023-11-30,R,0,R,0,0
257,Thursday1,2023-12-07,R,R,0,R,0
258,Thursday1,2023-12-14,R,0,R,0,0
259,Thursday1,2023-12-21,R,R,0,0,0
260,Thursday1,2023-12-28,R,0,R,0,0
261,Thursday2,2023-01-05,R,0,R,0,0
262,Thursday2,2023-01-12,R,R,0,0,R
263,Thursday2,2023-01-19,R,0,R,0,0
264,Thursday2,2023-01-26,R,R,0,0,R
265,Thursday2,2023-02-02,R,0,R,0,0
266,Thursday2,2023-02-09,R,R,0,0,0
267,Thursday2,2023-02-16,R,0,R,0,0
268,Thursday2,2023-02-23,R,R,0,0,0
269,Thursday2,2023-03-02,R,0,R,0,0
270,Thursday2,2023-03-09,R,R,0,0,0
271,Thursday2,2023-03-16,R,0,R,0,0
272,Thursday2,2023-03-23,R,R,0,R,0
273,Thursday2,2023-03-30,R,0,R,0,0
274,Thursday2,2023-04-06,R,R,0,R,0
275,Thursday2,2023-04-13,R,0,R,0,0
276,Thursday2,2023-04-20,R,R,0,R,0
277,Thursday2,2023-04-27,R,0,R,0,0
278,Thursday2,2023-05-04,R,R,0,R,0
279,Thursday2,2023-05-11,R,0,R,0,0
280,Thursday2,2023-05-18,R,R,0,R,0
281,Thursday2,2023-05-25,R,0,R,0,0
282,Thursday2,2023-06-01,R,R,0,R,0
283,Thursday2,2023-06-08,R,0,R,0,0
284,Thursday2,2023-06-15,R,R,0,R,0
285,Thursday2,2023-06-22,R,0,R,0,0
286,Thursday2,2023-06-29,R,R,0,R,0
287,Thursday2,2023-07-06,R,0,R,0,0
288,Thursday2,2023-07-13,R,R,0,R,0
289,Thursday2,2023-07-20,R,0,R,0,0
290,Thursday2,2023-07-27,R,R,0,R,0
291,Thursday2,2023-08-03,R,0,R,0,0
292,Thursday2,2023-08-10,R,R,0,R,0
293,Thursday2,2023-08-17,R,0,R,0,0
294,Thursday2,2023-08-24,R,R,0,R,0
295,Thursday2,2023-08-31,R,0,R,0,0
296,Thursday2,2023-09-07,R,R,0,R,0
297,Thursday2,2023-09-14,R,0,R,0,0
298,Thursday2,2023-09-21,R,R,0,R,0
299,Thursday2,2023-09-28,R,0,R,0,0
300,Thursday2,2023-10-05,R,R,0,R,0
301,Thursday2,2023-10-12,R,0,R,0,0
302,Thursday2,2023-10-19,R,R,0,R,0
303,Thursday2,2023-10-26,R,0,R,0,0
304,Thursday2,2023-11-02,R,R,0,R,0
305,Thursday2,2023-11-09,R,0,R,0,0
306,Thursday2,2023-11-16,R,R,0,R,0
307,Thursday2,2023-11-23,R,0,R,0,0
308,Thursday2,2023-11-30,R,R,0,R,0
309,Thursday2,2023-12-07,R,0,R,0,0
310,Thursday2,2023-12-14,R,R,0,R,0
311,Thursday2,2023-12-21,R,0,R,0,0
312,Thursday2,2023-12-28,R,R,0,0,0
313,Friday1,2023-01-06,F,F,0,0,F
314,Friday1,2023-01-13,F,0,F,0,0
315,Friday1,2023-01-20,F,F,0,0,F
316,Friday1,2023-01-27,F,0,F,0,0
317,Friday1,2023-02-03,F,F,0,0,0
318,Friday1,2023-02-10,F,0,F,0,0
319,Friday1,2023-02-17,F,F,0,0,0
320,Friday1,2023-02-24,F,0,F,0,0
321,Friday1,2023-03-03,F,F,0,0,0
322,Friday1,2023-03-10,F,0,F,0,0
323,Friday1,2023-03-17,F,F,0,F,0
324,Friday1,2023-03-24,F,0,F,0,0
325,Friday1,2023-03-31,F,F,0,F,0
326,Friday1,2023-04-07,F,0,F,0,0
327,Friday1,2023-04-14,F,F,0,F,0
328,Friday1,2023-04-21,F,0,F,0,0
329,Friday1,2023-04-28,F,F,0,F,0
330,Friday1,2023-05-05,F,0,F,0,0
331,Friday1,2023-05-12,F,F,0,F,0
332,Friday1,2023-05-19,F,0,F,0,0
333,Friday1,2023-05-26,F,F,0,F,0
334,Friday1,2023-06-02,F,0,F,0,0
335,Friday1,2023-06-09,F,F,0,F,0
336,Friday1,2023-06-16,F,0,F,0,0
337,Friday1,2023-06-23,F,F,0,F,0
338,Friday1,2023-06-30,F,0,F,0,0
339,Friday1,2023-07-07,F,F,0,F,0
340,Friday1,2023-07-14,F,0,F,0,0
341,Friday1,2023-07-21,F,F,0,F,0
342,Friday1,2023-07-28,F,0,F,0,0
343,Friday1,2023-08-04,F,F,0,F,0
344,Friday1,2023-08-11,F,0,F,0,0
345,Friday1,2023-08-18,F,F,0,F,0
346,Friday1,2023-08-25,F,0,F,0,0
347,Friday1,2023-09-01,F,F,0,F,0
348,Friday1,2023-09-08,F,0,F,0,0
349,Friday1,2023-09-15,F,F,0,F,0
350,Friday1,2023-09-22,F,0,F,0,0
351,Friday1,2023-09-29,F,F,0,F,0
352,Friday1,2023-10-06,F,0,F,0,0
353,Friday1,2023-10-13,F,F,0,F,0
354,Friday1,2023-10-20,F,0,F,0,0
355,Friday1,2023-10-27,F,F,0,F,0
356,Friday1,2023-11-03,F,0,F,0,0
357,Friday1,2023-11-10,F,F,0,F,0
358,Friday1,2023-11-17,F,0,F,0,0
359,Friday1,2023-11-24,F,F,0,F,0
360,Friday1,2023-12-01,F,0,F,0,0
361,Friday1,2023-12-08,F,F,0,F,0
362,Friday1,2023-12-15,F,0,F,0,0
363,Friday1,2023-12-22,F,F,0,0,0
364,Friday1,2023-12-29,F,0,F,0,0
365,Friday2,2023-01-06,F,0,F,0,0
366,Friday2,2023-01-13,F,F,0,0,F
367,Friday2,2023-01-20,F,0,F,0,0
368,Friday2,2023-01-27,F,F,0,0,F
369,Friday2,2023-02-03,F,0,F,0,0
370,Friday2,2023-02-10,F,F,0,0,0
371,Friday2,2023-02-17,F,0,F,0,0
372,Friday2,2023-02-24,F,F,0,0,0
373,Friday2,2023-03-03,F,0,F,0,0
374,Friday2,2023-03-10,F,F,0,0,0
375,Friday2,2023-03-17,F,0,F,0,0
376,Friday2,2023-03-24,F,F,0,F,0
377,Friday2,2023-03-31,F,0,F,0,0
378,Friday2,2023-04-07,F,F,0,F,0
379,Friday2,2023-04-14,F,0,F,0,0
380,Friday2,2023-04-21,F,F,0,F,0
381,Friday2,2023-04-28,F,0,F,0,0
382,Friday2,2023-05-05,F,F,0,F,0
383,Friday2,2023-05-12,F,0,F,0,0
384,Friday2,2023-05-19,F,F,0,F,0
385,Friday2,2023-05-26,F,0,F,0,0
386,Friday2,2023-06-02,F,F,0,F,0
387,Friday2,2023-06-09,F,0,F,0,0
388,Friday2,2023-06-16,F,F,0,F,0
389,Friday2,2023-06-23,F,0,F,0,0
390,Friday2,2023-06-30,F,F,0,F,0
391,Friday2,2023-07-07,F,0,F,0,0
392,Friday2,2023-07-14,F,F,0,F,0
393,Friday2,2023-07-21,F,0,F,0,0
394,Friday2,2023-07-28,F,F,0,F,0
395,Friday2,2023-08-04,F,0,F,0,0
396,Friday2,2023-08-11,F,F,0,F,0
397,Friday2,2023-08-18,F,0,F,0,0
398,Friday2,2023-08-25,F,F,0,F,0
399,Friday2,2023-09-01,F,0,F,0,0
400,Friday2,2023-09-08,F,F,0,F,0
401,Friday2,2023-09-15,F,0,F,0,0
402,Friday2,2023-09-22,F,F,0,F,0
403,Friday2,2023-09-29,F,0,F,0,0
404,Friday2,2023-10-06,F,F,0,F,0
405,Friday2,2023-10-13,F,0,F,0,0
406,Friday2,2023-10-20,F,F,0,F,0
407,Friday2,2023-10-27,F,0,F,0,0
408,Friday2,2023-11-03,F,F,0,F,0
409,Friday2,2023-11-10,F,0,F,0,0
410,Friday2,2023-11-17,F,F,0,F,0
411,Friday2,2023-11-24,F,0,F,0,0
412,Friday2,2023-12-01,F,F,0,F,0
413,Friday2,2023-12-08,F,0,F,0,0
414,Friday2,2023-12-15,F,F,0,F,0
415,Friday2,2023-12-22,F,0,F,0,0
416,Friday2,2023-12-29,F,F,0,0,0
